Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.
cristiano,1,Sports,462900000.0,India,5500000.0,6600000.0
leomessi,2,Sports,347200000.0,Argentina,3600000.0,4800000.0
kendalljenner,3,Modeling,247600000.0,United States,3000000.0,4900000.0
arianagrande,4,Music,321400000.0,United States,2400000.0,3400000.0
zendaya,5,Actors,147000000.0,United States,4300000.0,5800000.0
kimkardashian,6,Fashion,323600000.0,United States,1700000.0,2500000.0
taylorswift,7,Music,218200000.0,Brazil,2400000.0,3200000.0
kyliejenner,8,Fashion,357000000.0,United States,1200000.0,1900000.0
selenagomez,9,Music,334900000.0,United States,1400000.0,1900000.0
thv,10,Others,46300000.0,United States,13300000.0,13300000.0
lalalalisa_m,11,Music,79900000.0,Indonesia,6300000.0,7300000.0
jennierubyjane,12,Music,68200000.0,Indonesia,7000000.0,8300000.000000001
virat.kohli,13,Sports,206900000.0,India,2100000.0,2400000.0
tomholland2013,14,Actors,67600000.0,United States,5700000.0,7000000.0
j.m,15,Others,38100000.0,Others,11800000.0,11800000.0
agustd,16,Lifestyle,36500000.0,Others,10400000.0,10400000.0
jin,17,Others,37400000.0,United States,9900000.0,9900000.0
beyonce,18,Music,267399999.99999997,United States,949900.0,1300000.0
khloekardashian,19,Clothing,260399999.99999997,United States,1100000.0,1400000.0
sooyaaa__,20,Music,62100000.0,Indonesia,4900000.0,5600000.0
billieeilish,21,Music,104300000.0,United States,2400000.0,3100000.0
neymarjr,22,Sports,176200000.0,Brazil,1300000.0,1800000.0
khaby00,23,Sports,78600000.0,India,2800000.0,3900000.0
justinbieber,24,Music,245900000.0,India,798500.0,1200000.0
roses_are_rosie,25,Music,61000000.0,Indonesia,4000000.0,4600000.0
uarmyhope,26,Artists,37400000.0,South Korea,6900000.0,6900000.0
badbunnypr,27,Music,41400000.0,United States,3900000.0,6000000.0
nickiminaj,28,Music,197800000.0,United States,744200.0,1200000.0
instagram,29,Photography,528400000.0,India,339600.0,434300.0
jungkook.97,30,Music,43000000.0,Others,5200000.0,5200000.0
bts.bighitofficial,31,Music,66000000.0,Indonesia,3000000.0,3300000.0
iamcardib,32,Music,137300000.0,United States,1100000.0,1500000.0
kourtneykardash,33,Lifestyle,189000000.0,United States,739800.0,1100000.0
karolg,34,Music,54500000.0,Mexico,3000000.0,3700000.0
zayn,35,Music,46200000.0,India,2700000.0,4300000.0
rkive,36,Lifestyle,36000000.0,Others,5400000.0,5400000.0
milliebobbybrown,37,Actors,53200000.0,Brazil,2800000.0,3500000.0
gigihadid,38,Modeling,74900000.0,United States,1600000.0,2400000.0
jlo,39,Music,217500000.0,United States,585700.0,743200.0
kingjames,40,Sports,127400000.0,United States,741700.0,1300000.0
therock,41,Actors,327300000.0,India,373200.0,479800.0
adele,42,Music,50600000.0,United States,2200000.0,3100000.0
georginagio,43,Lifestyle,39000000.0,India,2700000.0,3800000.0
champagnepapi,44,Music,116600000.0,United States,753600.0,1200000.0
katrinakaif,45,Beauty,65599999.99999999,India,1900000.0,2200000.0
harrystyles,46,Music,46300000.0,United States,2100000.0,2900000.0
mileycyrus,47,Music,178200000.0,United States,557800.0,757200.0
eunwo.o_c,48,Music,29200000.0,Indonesia,3600000.0,4500000.0
travisscott,49,Music,45800000.0,United States,1700000.0,2500000.0
ester_exposito,50,Actors,29400000.0,Russia,2600000.0,3800000.0
robertdowneyjr,51,Actors,53200000.0,India,1600000.0,2000000.0
dlwlrma,52,Artists,27000000.0,South Korea,3000000.0,3500000.0
actorleeminho,53,Actors,30100000.0,Indonesia,2400000.0,3100000.0
narendramodi,54,Finance,68200000.0,India,1200000.0,1300000.0
shawnmendes,55,Music,69400000.0,Brazil,838000.0,1200000.0
k.mbappe,56,Sports,72400000.0,France,806500.0,1100000.0
johnnydepp,57,Actors,26600000.0,India,2400000.0,3100000.0
aliaabhatt,58,Actors,67200000.0,India,979600.0,1200000.0
oliviarodrigo,59,Music,27100000.0,India,2300000.0,2900000.0
anushkasharma,60,Actors,59300000.0,India,1200000.0,1300000.0
dualipa,61,Music,85100000.0,Mexico,729100.0,879100.0
dovecameron,62,Actors,48100000.0,United States,1200000.0,1500000.0
camila_cabello,63,Music,64400000.00000001,Brazil,845400.0,1100000.0
noahschnapp,64,Actors,24700000.0,Brazil,2300000.0,2900000.0
danbilzerian,65,Actors,32900000.0,India,1300000.0,2200000.0
charlidamelio,66,Lifestyle,48900000.0,United States,1200000.0,1400000.0
dojacat,67,Music,24200000.0,United States,2000000.0,2700000.0
chrishemsworth,68,Actors,55100000.0,India,869200.0,1100000.0
kimberly.loaiza,69,Clothing,35200000.0,Mexico,1400000.0,1700000.0
lelepons,70,Music,49000000.0,Mexico,763500.0,1200000.0
iamzlatanibrahimovic,71,Sports,54600000.0,Italy,682100.0,1100000.0
mosalah,72,Sports,51900000.0,Egypt,753400.0,1100000.0
bn_sj2013,73,Actors,22200000.0,Indonesia,2100000.0,2500000.0
jongsuk0206,74,Actors,23000000.0,Indonesia,1800000.0,2400000.0
handemiyy,75,Actors,28500000.0,Turkey,1400000.0,1900000.0
niallhoran,76,Music,30200000.0,United States,1200000.0,1800000.0
paulodybala,77,Sports,47700000.0,Argentina,684300.0,1100000.0
gal_gadot,78,Actors,83800000.0,United States,468300.0,605900.0
oohsehun,79,Music,23300000.0,Indonesia,1700000.0,2100000.0
realmadrid,80,Sports,121800000.0,Spain,289500.0,396500.0
sadiesink_,81,Modeling,21600000.0,Brazil,1500000.0,2200000.0
lilireinhart,82,Actors,29000000.0,Brazil,1100000.0,1600000.0
chrisbrownofficial,83,Music,115100000.0,United States,267000.0,414500.0
fcbarcelona,84,Sports,110000000.0,Indonesia,281600.0,424100.0
iamsrk,85,Actors,30000000.0,India,1200000.0,1600000.0
ddlovato,86,Music,136300000.0,United States,264500.0,338100.0
rashmika_mandanna,87,Beauty,32299999.999999996,India,1200000.0,1400000.0
dishapatani,88,Actors,52100000.0,India,696000.0,855200.0
songkang_b,89,Lifestyle,14400000.0,Mexico,2200000.0,3100000.0
